á	aː
triomadóir	ˈ tʲ ɾʲ i mˠ ə d̪ˠ o ɾʲ
triomaigh	ˈ tʲ ɾʲ i mˠ iː
triomaithe	ˈ tʲ ɾʲ i mˠ ə h ə
triomú	ˈ tʲ ɾʲ i mˠ uː
Tríonóide	ˈ tʲ ɾʲ iː 
Tríonóideach	ˈ tʲ ɾʲ iː 
triopall	ˈ tʲ ɾʲ i pˠ ə l̻ˠ
triosc	ˈ tʲ ɾʲ i sˠ k
tríú	tʲ ɾʲ iː ˈ uː
triuf	ˈ tʲ ɾʲ u fˠ
triúr	ˈ tʲ ɾʲ uː ɾˠ
trócaire	ˈ t̪ˠ ɾˠ oː k ə ɾʲ ə
troda	ˈ t̪ˠ ɾˠ o d̪ˠ ə
trodach	ˈ t̪ˠ ɾˠ o d̪ˠ a h
trodaíocht	ˈ t̪ˠ ɾˠ o d̪ˠ iˑə ɾˠ t̪ˠ
trófaí	ˈ t̪ˠ ɾˠ oː fˠ iː
troid	ˈ t̪ˠ ɾˠ o dʲ
troigh	ˈ t̪ˠ ɾˠ o j
troighe	ˈ t̪ˠ ɾˠ ai ə
troisc	ˈ t̪ˠ ɾˠ o ʃ c
trom	ˈ t̪ˠ ɾˠ o mˠ
tromaithe	ˈ t̪ˠ ɾˠ o mˠ ə h ə
tromán	ˈ t̪ˠ ɾˠ o mˠ a n̻ˠ
trombhríoch	ˈ t̪ˠ ɾˠ o mʲ bʲ h ɾʲ iˑə h
tromchiallach	ˈ t̪ˠ ɾˠ o mʲ ç iˑə l̻ˠ ə h
tromchúiseach	ˈ t̪ˠ ɾˠ o mˠ h u ʃ a h
tromlach	ˈ t̪ˠ ɾˠ o mˠ l̻ˠ a h
tromluí	ˈ t̪ˠ ɾˠ o mˠ l̻ˠ iː
trópaiceach	ˈ t̪ˠ ɾˠ oː pˠ ə c a h
troscadh	ˈ t̪ˠ ɾˠ a sˠ k uː
troscáin	ˈ t̪ˠ ɾˠ o sˠ k aː nʲ
troscán	ˈ t̪ˠ ɾˠ a sˠ k a n̻ˠ
Trostán	ˈ t̪ˠ ɾˠ o sˠ t̪ˠ aː n̻ˠ
trua	ˈ t̪ˠ ɾˠ ua j
truacánta	ˈ t̪ˠ ɾˠ ua k a n̻ˠ t̪ˠ ə
truafheoil	
truailleán	ˈ t̪ˠ ɾˠ uˑə l̻ʲ aː n̻ˠ
truaillithe	ˈ t̪ˠ ɾˠ uˑə l̻ʲ ə h ə
truailliú	ˈ t̪ˠ ɾˠ ua l̻ʲ uː
truamhéalach	ˈ t̪ˠ ɾˠ ua vʲ e l̻ˠ a h
truamhéileach	ˈ t̪ˠ ɾˠ uˑə vʲ eː lʲ ə h
truán	ˈ t̪ˠ ɾˠ uː aː n̻ˠ
trucail	ˈ t̪ˠ ɾˠ u k ə lʲ
trucbhád	ˈ t̪ˠ ɾˠ u k vˠ aː d̪ˠ
truflais	ˈ t̪ˠ ɾˠ u fˠ l̻ˠ ə ʃ
truip	ˈ t̪ˠ ɾˠ i pʲ
truipeáil	ˈ t̪ˠ ɾˠ i pʲ aː lʲ
trup	ˈ t̪ˠ ɾˠ u pˠ
trust	ˈ t̪ˠ ɾˠ u sˠ t̪ˠ
trusta	ˈ t̪ˠ ɾˠ u sˠ t̪ˠ ə
tSaimbia	ˈ t̪ˠ a mʲ bʲ iˑə
tSalvadóir	
tSeapáin	ˈ tʲ a pˠ aː nʲ
tSeicslóvaic	
tSeineagáil	ˈ tʲ e nʲ ə ɡ aː lʲ
tSeirbia	ˈ tʲ e ɾʲ ə bʲ iˑə
tSeoirsia	ˈ tʲ oː ɾʲ ʃ iˑə
tSibéir	ˈ tʲ i bʲ eː ɾʲ
tSicil	ˈ tʲ i c ə lʲ
tSile	ˈ tʲ i lʲ ə
tSín	ˈ tʲ iː nʲ
tSiombáib	ˈ tʲ i mˠ bˠ aː bʲ
tSionainn	ˈ tʲ i n̻ˠ ə n̻ʲ
tSiria	ˈ tʲ i ɾʲ iˑə
tslí	ˈ tʲ ʃ uː l̻ˠ
tSlóivéin	ˈ t̪ˠ l̻ˠ oː vʲ eː nʲ
tSlóvaic	ˈ t̪ˠ l̻ˠ oː vʲ ə c
tslua	ˈ t̪ˠ l̻ˠ ua
tSomáil	ˈ t̪ˠ o ˈ mˠ aː lʲ
tSualainn	ˈ t̪ˠ uˑə l̻ˠ ə n̻ʲ
tSuasalainn	ˈ t̪ˠ uˑə sˠ ə l̻ˠ ə n̻ʲ
tSúdáin	ˈ t̪ˠ uː d̪ˠ aː nʲ
tú	ˈ t̪ˠ uː
tua	ˈ t̪ˠ ua
Tuaim	ˈ t̪ˠ uˑə mʲ
tuairim	ˈ t̪ˠ ua ɾʲ i mʲ
tuairisc	ˈ t̪ˠ ua ɾʲ ə ʃ c
tuairisceán	ˈ t̪ˠ uˑə ɾʲ ə ʃ c aː n̻ˠ
tuairisceoir	ˈ t̪ˠ ua ɾʲ ə ʃ c o ɾʲ
tuairisceoireacht	
tuairiscigh	ˈ t̪ˠ ua ɾʲ ə ʃ c iː
tuairiscithe	ˈ t̪ˠ uˑə ɾʲ ə ʃ c ə h ə
tuairisciú	ˈ t̪ˠ uˑə ɾʲ ə ʃ c uː
tuairt	ˈ t̪ˠ ua ɾˠ tʲ
tuairteáil	ˈ t̪ˠ ua ɾˠ tʲ a lʲ
tuaisceart	ˈ t̪ˠ ua ʃ c ə ɾˠ t̪ˠ
Tuaisceart	ˈ t̪ˠ ua ʃ c ə ɾˠ t̪ˠ
tuaisceartach	ˈ t̪ˠ ua ʃ c ə ɾˠ t̪ˠ a h
tuaithe	ˈ t̪ˠ ua hʲ ə
tuar	ˈ t̪ˠ ua ɾˠ
tuarascáil	ˈ t̪ˠ ua ɾˠ ə sˠ k a lʲ
tuarastail	ˈ t̪ˠ uˑə ɾˠ ə sˠ t̪ˠ ə lʲ
tuarastal	ˈ t̪ˠ ua ɾˠ ə sˠ t̪ˠ ə l̻ˠ
tuargain	ˈ t̪ˠ ua ɾˠ ɡ ə nʲ
tuargainte	ˈ t̪ˠ uˑə ɾˠ ɡ ə nʲ tʲ ə
tuaslagadh	ˈ t̪ˠ ua sˠ l̻ˠ ə ɡ uː
tuaslagán	ˈ t̪ˠ ua sˠ l̻ˠ ə ɡ a n̻ˠ
tuaslaig	ˈ t̪ˠ ua sˠ l̻ˠ ə ɟ
tuata	ˈ t̪ˠ ua t̪ˠ ə
tuath	ˈ t̪ˠ ua
tuathail	ˈ t̪ˠ uˑə ˈ a lʲ
Tuathail	ˈ t̪ˠ uˑə ˈ a lʲ
tuathalach	ˈ t̪ˠ ua h ə l̻ˠ a h
tuathúil	ˈ t̪ˠ ua h u lʲ
tubaiste	ˈ t̪ˠ u bˠ ə ʃ tʲ ə
tubaisteach	ˈ t̪ˠ u bˠ ə ʃ tʲ a h
túcáin	ˈ t̪ˠ uː k aː nʲ
túcán	ˈ t̪ˠ uː k aː n̻ˠ
tugtha	ˈ t̪ˠ u k ə
tuig	ˈ t̪ˠ i ɟ
tuil	ˈ t̪ˠ i lʲ
tuile	ˈ t̪ˠ i lʲ ə
tuill	ˈ t̪ˠ i l̻ʲ
tuilleadh	ˈ t̪ˠ i l̻ʲ uː
tuilleamh	ˈ t̪ˠ i l̻ʲ uː
tuillte	ˈ t̪ˠ i l̻ʲ tʲ ə
tuillteanas	ˈ t̪ˠ i l̻ʲ tʲ ə n̻ˠ ə sˠ
tuilsolas	ˈ t̪ˠ i lʲ sˠ o l̻ˠ ə sˠ
tuin	ˈ t̪ˠ i nʲ
tuinairde	ˈ t̪ˠ i n̻ˠ ə ɾˠ dʲ ə
Túinéis	ˈ t̪ˠ uː nʲ eː ʃ
Túinéiseach	ˈ t̪ˠ uː nʲ eː ʃ ə h
tuinnín	ˈ t̪ˠ i n̻ʲ iː nʲ
tuirbín	ˈ t̪ˠ i ɾʲ ə bʲ i nʲ
Tuirc	ˈ t̪ˠ i ɾʲ c
Tuircis	ˈ t̪ˠ i ɾʲ c ə ʃ
Tuircise	ˈ t̪ˠ i ɾʲ c ə ʃ ə
Tuircméanastáin	ˈ t̪ˠ i ɾʲ c mʲ eː n̻ˠ ə sˠ t̪ˠ aː nʲ
tuirling	ˈ t̪ˠ uː ɾˠ lʲ ə ɲ
tuirlingt	ˈ t̪ˠ uː ɾˠ lʲ ə n̻ʲ tʲ
tuirlingthe	ˈ t̪ˠ i ɾʲ lʲ ə ɲ h ə
tuirseach	ˈ t̪ˠ i ɾˠ ʃ a h
tuirsigh	ˈ t̪ˠ i ɾˠ ʃ iː
tuirsiúil	ˈ t̪ˠ i ɾˠ ʃ u lʲ
tuisceanach	ˈ t̪ˠ i ʃ c ə n̻ˠ a h
tuiscint	ˈ t̪ˠ i ʃ c ə n̻ʲ tʲ
tuiseal	ˈ t̪ˠ i ʃ ə l̻ˠ
tuisle	ˈ t̪ˠ i ʃ lʲ ə
tuisligh	ˈ t̪ˠ i ʃ lʲ iː
tuismeá	ˈ t̪ˠ i ʃ mʲ aː
tuismitheoir	ˈ t̪ˠ i ʃ mʲ i hʲ o ɾʲ
tuismitheoireacht	
tuismitheoirí	
tuiste	ˈ t̪ˠ i ʃ tʲ ə
tul	ˈ t̪ˠ u l̻ˠ
tulán	ˈ t̪ˠ u l̻ˠ a n̻ˠ
tulbhuille	ˈ t̪ˠ u l̻ˠ ə vˠ ə l̻ʲ ə
tulca	ˈ t̪ˠ u l̻ˠ k ə
tum	ˈ t̪ˠ u mˠ
tumadh	ˈ t̪ˠ u mˠ uː
tumadóir	ˈ t̪ˠ u mˠ ə d̪ˠ o ɾʲ
tumadóireacht	
tumadóireachta	
tur	ˈ t̪ˠ u ɾˠ
turais	ˈ t̪ˠ u ɾˠ ə ʃ
turas	ˈ t̪ˠ u ɾˠ ə sˠ
turasóir	ˈ t̪ˠ u ɾˠ ə sˠ o ɾʲ
turasóireacht	ˈ t̪ˠ u ɾˠ ə sˠ o ɾʲ a x t̪ˠ
Turcach	ˈ t̪ˠ u ɾˠ k ə h
turcaí	ˈ t̪ˠ a ɾˠ k iː
turcaid	ˈ t̪ˠ u ɾˠ k ə dʲ
turcaidghorm	ˈ t̪ˠ u ɾˠ k ə d̪ˠ ɣ ə ɾˠ mˠ
turgnamh	ˈ t̪ˠ u ɾˠ ə ɡ n̻ˠ uː
turgnamhach	ˈ t̪ˠ u ɾˠ ə ɡ n̻ˠ ə h
turgnamhaí	ˈ t̪ˠ u ɾˠ ə ɡ n̻ˠ ə iː
turn	ˈ t̪ˠ u ɾˠ n̻ˠ
turnaimint	ˈ t̪ˠ uː ɾˠ n̻ˠ ə mʲ ə n̻ʲ tʲ
turnamh	ˈ t̪ˠ uː ɾˠ n̻ˠ uː
turraing	ˈ t̪ˠ u ɾˠ ə ɲ
turscar	ˈ t̪ˠ u ɾˠ sˠ k ə ɾˠ
tús	ˈ t̪ˠ uː sˠ
tusa	ˈ t̪ˠ u sˠ ə
Tuscánach	ˈ t̪ˠ u sˠ k aː n̻ˠ ə h
túschic	ˈ t̪ˠ uː ʃ ç ə c
tútach	ˈ t̪ˠ uː t̪ˠ a h
Túvalú	ˈ t̪ˠ uː vʲ ə l̻ˠ uː
uabhar	ˈ ua ɾˠ
uacht	ˈ ua x t̪ˠ
uachtaigh	ˈ ua x t̪ˠ iː
uachtair	ˈ uˑə ɾˠ t̪ˠ ə ɾʲ
uachtar	ˈ ua x t̪ˠ ə ɾˠ
uachtarach	ˈ ua x t̪ˠ ə ɾˠ a h
uachtaraigh	ˈ uˑə ɾˠ t̪ˠ ə ɾˠ iː
uachtarán	ˈ ua x t̪ˠ ə ɾˠ a n̻ˠ
uachtaránacht	ˈ ua x t̪ˠ ə ɾˠ a n̻ˠ a x t̪ˠ
uafáis	ˈ uˑə fˠ aː ʃ
uafás	ˈ ua fˠ a sˠ
uafásach	ˈ ua fˠ a sˠ a h
uaibhreach	ˈ ua vʲ ɾʲ a h
uaighe	ˈ ua j ə
uaigneach	ˈ ua ɟ nʲ a h
uaillbhreasa	ˈ uˑə l̻ʲ vʲ ɾʲ ə sˠ ə
uaillmhian	ˈ ua l̻ʲ vʲ ia n̻ˠ
uaillmhianach	ˈ ua l̻ʲ vʲ ia n̻ˠ a h
uaimheadóireacht	ˈ ua vʲ ə d̪ˠ o ɾʲ a x t̪ˠ
uain	ˈ ua nʲ
uainchlár	ˈ ua nʲ h l̻ˠ a ɾˠ
uaine	ˈ ua nʲ ə
uaineadóir	
uaineoil	ˈ ua nʲ o lʲ
uair	ˈ ua ɾʲ
uaireadóir	ˈ ua ɾʲ ə d̪ˠ o ɾʲ
uaireadóra	
uaireanta	ˈ uˑə ɾʲ ə n̻ˠ t̪ˠ ə
ualach	ˈ ua l̻ˠ a h
ualaigh	ˈ ua l̻ˠ iː
ualaithe	ˈ uˑə l̻ˠ ə h ə
uan	ˈ ua n̻ˠ
uasaicme	ˈ ua sˠ a c mʲ ə
uasaicmeach	ˈ uˑə ˈ sˠ a c mʲ a h
uasal	ˈ ua sˠ ə l̻ˠ
uasalaicme	ˈ uˑə ˈ sˠ a l̻ˠ ə c mʲ ə
uaschamóg	ˈ ua sˠ h a mˠ o ɡ
uaschéimnigh	ˈ uˑə sˠ ˈ ç eː mʲ nʲ iː
uasghrádaigh	ˈ uˑə sˠ ˈ ɣ ɾˠ aː d̪ˠ iː
uaslódáil	ˈ uˑə sˠ ˈ l̻ˠ oː d̪ˠ a lʲ
uasmhéid	ˈ uˑə sˠ ˈ vʲ eː dʲ
uasta	ˈ ua sˠ t̪ˠ ə
uasteorainn	ˈ uˑə sˠ ˈ tʲ oː ɾˠ ə n̻ʲ
uasteorannú	ˈ uˑə sˠ ˈ tʲ oː ˈ ɾˠ a n̻ˠ uː
uathach	ˈ uˑə h ə h
uathachas	ˈ uˑə ˈ a h ə sˠ
uathfheidhmeach	ˈ ua h ˈ ai mʲ a h
uathoibreán	ˈ ua h ˈ o bʲ ɾʲ a n̻ˠ
uathoibríoch	ˈ ua h ˈ o bʲ ɾʲ i a h
uathúil	ˈ ua h u lʲ
ubh	ˈ u au
úcaire	ˈ uː k ə ɾʲ ə
ucht	ˈ u x t̪ˠ
uchtach	ˈ u x t̪ˠ a h
uchtaigh	ˈ u x t̪ˠ iː
uchtáil	ˈ u ɾˠ t̪ˠ aː lʲ
uchtóg	ˈ u x t̪ˠ o ɡ
uchtú	ˈ u x t̪ˠ uː
Úcráin	ˈ uː k ɾˠ aː nʲ
úcráinis	ˈ uː k ɾˠ aː nʲ ə ʃ
úcráinise	ˈ uː k ɾˠ aː nʲ ə ʃ ə
úcránach	ˈ uː k ɾˠ aː n̻ˠ ə h
úd	ˈ uː d̪ˠ
údar	ˈ uː d̪ˠ ə ɾˠ
údarás	ˈ uː d̪ˠ ə ɾˠ a sˠ
Údarás	ˈ uː d̪ˠ ə ɾˠ a sˠ
ugach	ˈ u ɡ a h
Uganda	ˈ u ɡ ə n̻ˠ d̪ˠ ə
Ugandach	ˈ u ɡ ə n̻ˠ d̪ˠ ə h
Uíbh	ˈ iː vʲ
uile	ˈ i lʲ ə
uilíoch	ˈ i lʲ i a h
uilleach	ˈ i l̻ʲ a h
uillinn	ˈ i l̻ʲ ə n̻ʲ
uimhir	ˈ i vʲ ə ɾʲ
uimhirphláta	ˈ i vʲ ə ɾʲ ˈ fˠ l̻ˠ aː t̪ˠ ə
Uimhreacha	ˈ i vʲ ɾʲ ə h ə
uimhrigh	ˈ i vʲ ɾʲ iː
uimhríocht	ˈ i vʲ ɾʲ iː a x t̪ˠ
uimhríochta	ˈ i vʲ ɾʲ iˑə ɾˠ t̪ˠ ə
uimhríochtúil	ˈ i vʲ ɾʲ i a ɾˠ t̪ˠ u lʲ
uimhrithe	ˈ i vʲ ɾʲ ə h ə
úinéir	ˈ uː nʲ e ɾʲ
úinitéireach	ˈ uː nʲ ə tʲ eː ɾʲ ə h
úinitéireachas	ˈ uː nʲ ə tʲ eː ɾʲ ə h ə sˠ
Uinseann	ˈ i nʲ ʃ ə n̻ˠ
úir	ˈ uː ɾʲ
Úire	ˈ uː ɾʲ ə
uireasa	ˈ i ɾʲ ə sˠ ə
úiríneach	ˈ uː ɾʲ iː nʲ ə h
uirlis	ˈ u ɾˠ lʲ ə ʃ
uirlise	ˈ i ɾʲ lʲ ə ʃ ə
uirlisí	ˈ i ɾʲ lʲ ə ʃ iː
úis	ˈ uː ʃ
úisbéiceastáin	ˈ uː ʃ bʲ eː c ə sˠ t̪ˠ aː nʲ
úisbéiceastánach	ˈ uː ʃ bʲ eː c ə sˠ t̪ˠ aː n̻ˠ ə h
uisce	ˈ i ʃ c ə
uisceadán	ˈ i ʃ c ə d̪ˠ a n̻ˠ
uiscebhealach	ˈ i ʃ c ə ˈ vʲ o l̻ˠ a h
uiscedhath	ˈ i ʃ c ə ˈ ɣ a h
uiscedhatha	ˈ i ʃ c ə ˈ ɣ a h ə
uiscelíne	ˈ i ʃ c ə ˈ l̻ʲ iː nʲ ə
uisce-sciáil	ˈ i ʃ c ə ˈ ʃ c iː aː lʲ
uiscí	ˈ i ʃ c iː
uiscigh	ˈ i ʃ c iː
uisciú	ˈ i ʃ c uː
uisinn	ˈ i ʃ ə n̻ʲ
Uladh	ˈ u l̻ˠ uː
Ulaidh	ˈ u l̻ˠ iː
úll	ˈ uː l̻ˠ
ullamh	ˈ u l̻ˠ uː
ullmhaigh	ˈ u l̻ˠ ə vˠ iː
ultrafhuaim	ˈ u l̻ˠ t̪ˠ ɾˠ ə uˑə mʲ
ultrafhuaime	ˈ u l̻ˠ t̪ˠ ɾˠ ə uˑə mʲ ə
ultraivialait	ˈ u l̻ˠ t̪ˠ ɾˠ ə vʲ iˑə l̻ˠ ə tʲ
umar	ˈ u mˠ ə ɾˠ
umha	ˈ uː ə
umhal	ˈ uː ə l̻ˠ
umhlaigh	ˈ uː l̻ˠ iː
umhlú	ˈ uː l̻ˠ uː
uncail	ˈ u ŋ k ə lʲ
únfairt	ˈ uː n̻ˠ fˠ ə ɾˠ tʲ
ungadh	ˈ u ŋ ɡ uː
Ungáir	ˈ u ŋ aː ɾʲ
Ungárach	ˈ u ŋ aː ɾˠ ə h
úr	ˈ uː ɾˠ
Uragua	ˈ u ɾˠ ə ɡ uˑə
úráiniam	ˈ uː ɾˠ a nʲ ia mˠ
úrbhriosc	ˈ uː ɾˠ ˈ vʲ ɾʲ i sˠ k
urchar	ˈ u ɾˠ a h ə ɾˠ
urchóid	ˈ u ɾˠ a h o dʲ
urchóideach	ˈ u ɾˠ a x o dʲ a h
urchomhaireach	ˈ u ɾˠ x oː ɾʲ a h
urchomhaireacht	ˈ u ɾˠ ə x oː ə ɾʲ ə ɾˠ t̪ˠ
urgharda	ˈ u ɾˠ ɣ a ɾˠ d̪ˠ ə
urlabhra	ˈ u ɾˠ l̻ˠ oː ɾˠ ə
urlabhraí	ˈ u ɾˠ l̻ˠ oː ɾˠ iː
urlacan	ˈ uː ɾˠ l̻ˠ ə k ə n̻ˠ
urláir	ˈ u ɾˠ l̻ˠ a ɾʲ
urlár	ˈ uː ɾˠ l̻ˠ a ɾˠ
úrnua	ˈ uː ɾˠ n̻ˠ ua
urra	ˈ u ɾˠ ə
urraigh	ˈ u ɾˠ iː
urraim	ˈ u ɾˠ ə mʲ
urraíocht	ˈ u ɾˠ iː a x t̪ˠ
urraithe	ˈ u ɾˠ ə h ə
urraitheoir	
urrann	ˈ u ɾˠ ə n̻ˠ
urrú	ˈ u ɾˠ uː
urrúis	ˈ u ɾˠ uː ʃ
urrúnta	ˈ u ɾˠ u n̻ˠ t̪ˠ ə
urrús	ˈ u ɾˠ u sˠ
úrscéal	ˈ uː ɾˠ ʃ c e l̻ˠ
úrscéalaí	ˈ uː ɾˠ ʃ c e l̻ˠ iː
ús	ˈ uː sˠ
úsáid	ˈ uː sˠ a dʲ
úsáideach	ˈ uː sˠ a dʲ a h
úsáideoir	ˈ uː sˠ a dʲ o ɾʲ
úsáideora	
úsáidte	ˈ uː sˠ aː dʲ ə
útamáil	ˈ uː t̪ˠ ə mˠ a lʲ
vacsaín	ˈ vˠ a k sˠ i nʲ
vacsaínigh	ˈ vˠ a k sˠ i nʲ iː
vacsaínithe	ˈ vˠ a k sˠ iː nʲ ə h ə
vacsaíniú	ˈ vˠ a k sˠ i nʲ uː
Vailintín	ˈ vˠ a lʲ ə n̻ʲ tʲ i nʲ
vaimpír	ˈ vˠ a mʲ pʲ i ɾʲ
válcaire	ˈ vˠ aː l̻ˠ k ə ɾʲ ə
Vallúnach	ˈ vˠ a l̻ˠ uː n̻ˠ ə h
Vanuatú	ˈ vˠ a n̻ˠ uˑə t̪ˠ uː
vardrús	ˈ vˠ aː ɾˠ d̪ˠ ɾˠ u sˠ
vata	ˈ vˠ a t̪ˠ ə
Vatacáin	ˈ vˠ a t̪ˠ ə k aː nʲ
veain	ˈ vʲ a nʲ
véarsa	ˈ vʲ eː ɾˠ sˠ ə
véarsaíocht	ˈ vʲ eː ɾˠ sˠ iː a x t̪ˠ
véarsaíochta	ˈ vʲ eː ɾˠ sˠ iˑə ɾˠ t̪ˠ ə
véibear	ˈ vʲ eː bʲ ə ɾˠ
veicteoir	
Véide	ˈ vʲ eː dʲ ə
Véideach	ˈ vʲ eː dʲ ə h
veidhleadóir	ˈ vʲ ai lʲ ə d̪ˠ o ɾʲ
veidhlín	ˈ vʲ ai lʲ i nʲ
Véidis	ˈ vʲ eː dʲ ə ʃ
Veinéiseach	ˈ vʲ e nʲ eː ʃ ə h
Veiniséala	ˈ vʲ e nʲ ə ʃ eː l̻ˠ ə
Verde	ˈ vʲ e ɾˠ dʲ ə
Víneach	ˈ vʲ iː nʲ ə h
vióla	ˈ vʲ iː oː l̻ˠ ə
víosa	ˈ vʲ iː sˠ ə
víreas	ˈ vʲ iː ɾʲ ə sˠ
vitimín	ˈ vʲ i tʲ ə mʲ i nʲ
Vítneam	ˈ vʲ iː tʲ n̥ʲ ə mˠ
Vítneamach	ˈ vʲ iː tʲ n̥ʲ ə mˠ ə h
vodca	ˈ vˠ o d̪ˠ k ə
volta	ˈ vˠ o l̻ˠ t̪ˠ ə
voltas	ˈ vˠ o l̻ˠ t̪ˠ ə sˠ
vóta	ˈ vˠ oː t̪ˠ ə
vótaí	ˈ vˠ oː t̪ˠ iː
vótáil	ˈ vˠ oː t̪ˠ a lʲ
vótaíochta	ˈ vʲ oː t̪ˠ iˑə ɾˠ t̪ˠ ə
vótála	ˈ vʲ oː t̪ˠ aː l̻ˠ ə
vótálaí	ˈ vˠ oː t̪ˠ a l̻ˠ iː
vótóir	ˈ vˠ oː t̪ˠ o ɾʲ
Walkman	ˈ vˠ aː l̻ˠ k mˠ a n̻ˠ
x-gha	ˈ e c sˠ ɣ aː
x-ghathaigh	ˈ e c sˠ ɣ a h iː
x-ghathú	ˈ e c sˠ ɣ a h uː
zaipire	ˈ zˠ a pʲ ə ɾʲ ə
zón	ˈ zˠ oː n̻ˠ
zónáil	ˈ zˠ oː n̻ˠ aː lʲ
zónáilte	ˈ zˠ oː n̻ˠ aː lʲ tʲ ə
zú	ˈ zˠ uː
zúm	ˈ zˠ uː mˠ
zúmáil	ˈ zˠ uː mˠ aː lʲ
a'am	a mˠ
a'at	a t̪ˠ
dochreidte	d̪ˠ o ç ɾʲ ə tʲ iː
cionn	ˈ c o n̻ˠ
cionn	ˈ c u n̻ˠ
gcionn	ˈ ɟ u n̻ˠ
bunoscionn	ˈ bˠ u n̻ˠ ə sˠ c u n̻ˠ
abhus	oː ə sˠ
achan	a h ə n̻ˠ
againne	ˈ ə ɡ ə n̻ʲ ə
agallaimh	a ɡ ə l̻ˠ ə vʲ
agatsa	ˈ ə ɡ ə t̪ˠ sˠ ə
aidhe	eː ə
áiméan	ˈ aː mʲ e n̻ˠ
áine	ˈ aː n̻ʲ ə
ainmneacha	a nʲ ə mʲ nʲ a h ə
aip	a pʲ
aireachais	a ɾʲ ə h ə ʃ
aireachtáil	ˈ a ɾʲ a ɾˠ t̪ˠ a lʲ
aireoidh	a ɾʲ o j
airím	a ɾʲ iː mʲ
áirím	aː ɾʲ iː mʲ
airíonn	a ɾʲ iː n̻ˠ
airsean	ˈ a ɾʲ ʃ ə n̻ˠ
aisteacha	a ʃ tʲ a h ə
aite	a tʲ ə
aitheantas	ˈ ai hʲ ə n̻ˠ t̪ˠ ə sˠ
aithint	ai ç i nʲ tʲ
aithním	ai ç nʲ iː mʲ
aithnímse	ai ç nʲ iː mʲ ʃ ə
áitiúla	aː tʲ uː l̻ˠ ə
amadáin	a mˠ ə d̪ˠ a nʲ
amaideacha	a mˠ ə dʲ a h ə
amharcann	au ɾˠ k ə n̻ˠ
an-aiféala	a n̻ˠ a fʲ eː l̻ˠ ə
an-bhuíoch	a n̻ˠ vˠ iː h
an-chion	a n̻ˠ ç i n̻ˠ
an-chiúin	a n̻ˠ ç uː nʲ
an-chloigeann	a n̻ˠ h l̻ˠ o ɟ ə n̻ˠ
an-chraic	a n̻ˠ h ɾˠ a c
an-chúnamh	a n̻ˠ h uː n̻ˠ uː
an-ghéar	a n̻ˠ j eː ɾˠ
an-jab	a n̻ˠ ʤ a bˠ
an-phoiblíocht	a n̻ˠ fˠ o bʲ lʲ ia ɾˠ t̪ˠ
an-sásamh	a n̻ˠ sˠ aː sˠ uː
an-sásta	a n̻ˠ sˠ aː sˠ t̪ˠ ə
ansiúd	a nʲ ʃ uː d̪ˠ
an-smaoineamh	a n̻ˠ sˠ mˠ iː nʲ uː
an-speisialta	a n̻ˠ ʃ pʲ e ʃ ia l̻ˠ t̪ˠ ə
an-taithí	a n̻ˠ t̪ˠ ai ç iː
an-tógtha	a n̻ˠ t̪ˠ oː k ə
an-uaigneach	a n̻ˠ ua ɟ nʲ a h
aonaigh	iː n̻ˠ iː
árach	ˈ aː ɾˠ a h
ardbhean	aː ɾˠ dʲ vʲ ə n̻ˠ
ardmheas	aː ɾˠ dʲ vʲ ə sˠ
aréir	ə ˈ ɾˠ e ɾʲ
arú	ˈ a ɾˠ uː
asam	ˈ a sˠ ə mˠ
asat	ˈ a sˠ ə t̪ˠ
átha	ˈ aː h ə
athróidh	a h ɾˠ o j
bainfidh	bˠ a n̥ʲ iː
bainise	ˈ bˠ a nʲ ə ʃ ə
ballasta	ˈ bˠ o l̻ˠ a sˠ t̪ˠ ə
b'annamh	ˈ bˠ a n̻ˠ uː
barraíocht	ˈ bˠ a ɾˠ iː a x t̪ˠ
bascfaidh	bˠ a sˠ k iː
bastairdín	bˠ a sˠ t̪ˠ ə ɾˠ dʲ iː nʲ
béadáin	bʲ eː d̪ˠ a nʲ
beagsa	bʲ i ɡ sˠ ə
beimid	ˈ bʲ e mʲ i dʲ
bhacach	ˈ vˠ a k a h
bhagairt	vˠ a ɡ ə ɾˠ tʲ
bhagraigh	vˠ a ɡ ɾˠ iː
bhailigh	vˠ a lʲ iː
bhailiú	vˠ a lʲ uː
bhain	ˈ vˠ i nʲ
bhaineann	vˠ a nʲ ə n̻ˠ
bhainisteoir	vˠ a nʲ i ʃ tʲ o ɾʲ
bhainisteora	vˠ a nʲ i ʃ tʲ oː ɾˠ ə
bhainistíocht	vˠ a nʲ i ʃ tʲ ia ɾˠ t̪ˠ
bhainistíochta	vˠ a nʲ i ʃ tʲ ia ɾˠ t̪ˠ ə
bhaithis	vˠ ai ç i ʃ
bhanc	vˠ a ŋ k
bharúil	ˈ vˠ a ɾˠ u lʲ
bhastaird	vˠ a sˠ t̪ˠ ə ɾˠ dʲ
bhastairdín	vˠ a sˠ t̪ˠ ə ɾˠ dʲ iː nʲ
bhéadáin	vʲ eː d̪ˠ a nʲ
bheadh	ˈ vʲ e uː
bhealaí	vʲ a l̻ˠ iː
bhéalsa	vʲ eː l̻ˠ sˠ ə
